Date,AAPL,BTC-USD,ETH-USD,MSFT
2024-04-24,167.3414764404297,64276.8984375,3139.80517578125,402.0056457519531
2024-04-25,168.2028045654297,64481.70703125,3156.509521484375,392.1584777832031
2024-04-26,167.61868286132812,63755.3203125,3130.164794921875,399.31292724609375
2024-04-27,,63419.140625,3252.168212890625,
2024-04-28,,63113.23046875,3262.774658203125,
2024-04-29,171.77699279785156,63841.12109375,3215.428955078125,395.3131103515625
2024-04-30,168.6384735107422,60636.85546875,3012.286865234375,382.6159362792969
2024-05-01,167.61868286132812,58254.01171875,2969.78466796875,388.129150390625
2024-05-02,171.3116455078125,59123.43359375,2988.16845703125,390.97918701171875
2024-05-03,181.55886840820312,62889.8359375,3103.5419921875,399.64703369140625
2024-05-04,,63891.47265625,3117.576416015625,
2024-05-05,,64031.1328125,3137.2490234375,
2024-05-06,179.9054718017578,63161.94921875,3062.728759765625,406.40838623046875
2024-05-07,180.58860778808594,62334.81640625,3006.5771484375,402.2808532714844
2024-05-08,180.92523193359375,61187.94140625,2973.6572265625,403.46014404296875
2024-05-09,182.737060546875,63049.9609375,3036.0205078125,405.20947265625
2024-05-10,181.47793579101562,60792.77734375,2909.791259765625,407.58770751953125
2024-05-11,,60793.7109375,2911.60205078125,
2024-05-12,,61448.39453125,2928.701904296875,
2024-05-13,184.68023681640625,62901.44921875,2949.359619140625,406.58526611328125
2024-05-14,185.8203125,61552.7890625,2881.157958984375,409.3763732910156
2024-05-15,188.09066772460938,66267.4921875,3037.056640625,416.5338134765625
2024-05-16,188.2096405029297,65231.58203125,2945.131103515625,414.4761962890625
2024-05-17,188.23939514160156,67051.875,3094.11865234375,413.708251953125
2024-05-18,,66940.8046875,3122.948974609375,
2024-05-19,,66278.3671875,3071.843017578125,
2024-05-20,189.3993377685547,71448.1953125,3663.85546875,418.7589111328125
2024-05-21,190.69810485839844,70136.53125,3789.312744140625,422.4016418457031
2024-05-22,189.26052856445312,69122.3359375,3737.2177734375,423.85870361328125
2024-05-23,185.2750701904297,67929.5625,3776.92724609375,420.3932189941406
2024-05-24,188.3484344482422,68526.1015625,3726.9345703125,423.5043029785156
2024-05-25,,69265.9453125,3749.236572265625,
2024-05-26,,68518.09375,3825.8974609375,
2024-05-27,,69394.5546875,3892.0068359375,
2024-05-28,188.3583526611328,68296.21875,3840.25634765625,423.6618347167969
2024-05-29,188.65577697753906,67578.09375,3763.196533203125,422.52960205078125
2024-05-30,189.64718627929688,68364.9921875,3746.849609375,408.2539978027344
2024-05-31,190.59893798828125,67491.4140625,3760.026611328125,408.7068786621094
2024-06-01,,67706.9375,3813.198974609375,
2024-06-02,,67751.6015625,3780.89599609375,
2024-06-03,192.36366271972656,68804.78125,3766.38916015625,407.12176513671875
2024-06-04,192.68092346191406,70567.765625,3812.515869140625,409.63232421875
2024-06-05,194.18785095214844,71082.8203125,3864.260986328125,417.44952392578125
2024-06-06,192.809814453125,70757.1640625,3811.60595703125,417.9515686035156
2024-06-07,195.19908142089844,69342.5859375,3678.629150390625,417.2919616699219
2024-06-08,,69305.7734375,3680.949951171875,
2024-06-09,,69647.9921875,3705.90380859375,
2024-06-10,191.46148681640625,69512.28125,3666.717529296875,421.24969482421875
2024-06-11,205.3709716796875,67332.03125,3498.33056640625,425.9853210449219
2024-06-12,211.24014282226562,68241.1875,3559.61767578125,434.2357177734375
2024-06-13,212.4001007080078,66756.3984375,3469.28125,434.7475891113281
2024-06-14,210.66513061523438,66011.09375,3480.27197265625,435.7222900390625
2024-06-15,,66191.0,3565.549560546875,
2024-06-16,,66639.046875,3620.5634765625,
2024-06-17,214.8092041015625,66490.296875,3511.37890625,441.43255615234375
2024-06-18,212.44967651367188,65140.74609375,3483.681396484375,439.4339904785156
2024-06-19,,64960.296875,3559.347412109375,
2024-06-20,207.87925720214844,64828.65625,3511.0869140625,438.8038330078125
2024-06-21,205.7080535888672,64096.19921875,3516.07568359375,442.82073974609375
2024-06-22,,64252.578125,3494.8134765625,
2024-06-23,,63180.796875,3418.61181640625,
2024-06-24,206.35247802734375,60277.4140625,3350.25634765625,440.743408203125
2024-06-25,207.27450561523438,61804.640625,3395.029052734375,443.9726257324219
2024-06-26,211.41859436035156,60811.27734375,3369.477294921875,445.16387939453125
2024-06-27,212.2612762451172,61604.80078125,3444.800537109375,445.8432312011719
2024-06-28,208.81117248535156,60320.13671875,3373.635986328125,440.0345458984375
2024-06-29,,60887.37890625,3372.9677734375,
2024-06-30,,62678.29296875,3432.88916015625,
2024-07-01,214.88853454589844,62851.98046875,3440.341552734375,449.6632080078125
2024-07-02,218.37831115722656,62029.015625,3416.354736328125,452.1737365722656
2024-07-03,219.6472930908203,60173.921875,3292.916748046875,453.64068603515625
2024-07-04,,56977.703125,3054.52197265625,
2024-07-05,224.39614868164062,56662.375,2981.5986328125,460.3255920410156
2024-07-06,,58303.5390625,3069.3779296875,
2024-07-07,,55849.109375,2929.38720703125,
2024-07-08,225.8634796142578,56705.09765625,3018.73193359375,459.0260009765625
2024-07-09,226.71607971191406,58009.2265625,3064.032958984375,452.4296875
2024-07-10,230.97914123535156,57742.49609375,3102.21875,459.0359191894531
2024-07-11,225.6156005859375,57344.9140625,3100.330810546875,447.66461181640625
2024-07-12,228.5601043701172,57899.46484375,3134.15869140625,446.5323791503906
2024-07-13,,59231.953125,3177.19873046875,
2024-07-14,,60787.79296875,3244.0791015625,
2024-07-15,232.38697814941406,64870.15234375,3489.552734375,446.93603515625
2024-07-16,232.80332946777344,65097.1484375,3443.513427734375,442.56475830078125
2024-07-17,226.9143524169922,64118.79296875,3388.75244140625,436.6576232910156
2024-07-18,222.25473022460938,63974.06640625,3426.258544921875,433.5563049316406
2024-07-19,222.3836212158203,66710.15625,3505.73486328125,430.3468017578125
2024-07-20,,67163.6484375,3519.29541015625,
2024-07-21,,68154.5234375,3536.60546875,
2024-07-22,222.03663635253906,67585.25,3440.419921875,436.0865783691406
2024-07-23,223.0775909423828,65927.671875,3481.995849609375,437.967041015625
2024-07-24,216.66319274902344,65372.1328125,3336.33935546875,422.2637939453125
2024-07-25,215.62220764160156,65777.2265625,3174.42724609375,411.9263000488281
2024-07-26,216.088134765625,67912.0625,3275.951416015625,418.6899719238281
2024-07-27,,67813.3359375,3247.60791015625,
2024-07-28,,68255.8671875,3271.464599609375,
2024-07-29,216.36575317382812,66819.9140625,3320.539306640625,420.1274108886719
2024-07-30,216.9209442138672,66201.015625,3278.667724609375,416.3763427734375
2024-07-31,220.17276000976562,64619.25,3231.295654296875,411.87701416015625
2024-08-01,216.4846954345703,65357.5,3201.564453125,410.65618896484375
2024-08-02,217.97183227539062,61415.06640625,2986.01318359375,402.16961669921875
2024-08-03,,60680.09375,2903.3857421875,
2024-08-04,,58116.9765625,2686.39892578125,
2024-08-05,207.4727783203125,53991.45703125,2417.206298828125,389.03594970703125
2024-08-06,205.4502716064453,56034.31640625,2458.723876953125,393.427001953125
2024-08-07,208.01805114746094,55027.4609375,2336.58935546875,392.2652282714844
2024-08-08,211.47805786132812,61710.13671875,2683.352783203125,396.4593811035156
2024-08-09,214.3829345703125,60880.11328125,2599.5986328125,399.7378234863281
2024-08-10,,60945.8125,2610.02294921875,
2024-08-11,,58719.484375,2553.252197265625,
2024-08-12,215.91146850585938,59354.515625,2724.431884765625,400.51556396484375
2024-08-13,219.62364196777344,60609.56640625,2703.671875,407.6042175292969
2024-08-14,220.0703125,58737.26953125,2662.914794921875,410.4100646972656
2024-08-15,223.04795837402344,57560.09765625,2570.087646484375,415.2626953125
2024-08-16,224.3680877685547,58894.10546875,2593.1865234375,412.73779296875
2024-08-17,,59478.97265625,2614.546875,
2024-08-18,,58483.96484375,2613.357177734375,
2024-08-19,224.2092742919922,59493.453125,2637.306396484375,415.7558288574219
2024-08-20,224.82464599609375,59012.79296875,2573.10693359375,418.98101806640625
2024-08-21,224.71548461914062,61175.19140625,2631.3955078125,418.3301086425781
2024-08-22,222.859375,60381.9140625,2622.951416015625,409.8577880859375
2024-08-23,225.15219116210938,64094.35546875,2764.447021484375,411.0807800292969
2024-08-24,,64178.9921875,2769.3896484375,
2024-08-25,,64333.54296875,2749.15771484375,
2024-08-26,225.48965454101562,62880.66015625,2681.340576171875,407.82598876953125
2024-08-27,226.33334350585938,59504.1328125,2458.7265625,408.171142578125
2024-08-28,224.80479431152344,59027.625,2528.41552734375,404.9755859375
2024-08-29,228.0802459716797,59388.1796875,2528.792724609375,407.46099853515625
2024-08-30,227.29612731933594,59119.4765625,2525.822021484375,411.42596435546875
2024-08-31,,58969.8984375,2513.393798828125,
2024-09-01,,57325.48828125,2427.90234375,
2024-09-02,,59112.48046875,2538.187255859375,
2024-09-03,221.1124725341797,57431.0234375,2420.603759765625,403.8314514160156
2024-09-04,219.20675659179688,57971.5390625,2448.97705078125,403.298828125
2024-09-05,220.7253875732422,56160.48828125,2367.737548828125,402.79583740234375
2024-09-06,219.177001953125,53948.75390625,2223.87646484375,396.1974792480469
2024-09-07,,54139.6875,2274.107177734375,
2024-09-08,,54841.56640625,2297.29296875,
2024-09-09,219.26632690429688,57019.53515625,2358.482177734375,400.16241455078125
2024-09-10,218.47225952148438,57648.7109375,2389.5810546875,408.52630615234375
2024-09-11,221.0032958984375,57343.171875,2339.841552734375,417.2451477050781
2024-09-12,221.1124725341797,58127.01171875,2361.78173828125,421.1509094238281
2024-09-13,220.844482421875,60571.30078125,2441.607177734375,424.6917419433594
2024-09-14,,60005.12109375,2418.595703125,
2024-09-15,,59182.8359375,2320.897216796875,
2024-09-16,214.71046447753906,58192.5078125,2295.28369140625,425.4314270019531
2024-09-17,215.17697143554688,60308.5390625,2341.707763671875,429.1893005371094
2024-09-18,219.04794311523438,61649.6796875,2369.72900390625,424.9087219238281
2024-09-19,227.16708374023438,62940.45703125,2464.752197265625,432.6807861328125
2024-09-20,226.50205993652344,63192.9765625,2561.072021484375,429.3076171875
2024-09-21,,63394.83984375,2615.857177734375,
2024-09-22,,63648.7109375,2582.862548828125,
2024-09-23,224.7849578857422,63329.80078125,2648.54638671875,427.5717468261719
2024-09-24,225.67823791503906,64301.96875,2654.35498046875,423.29119873046875
2024-09-25,224.68568420410156,63143.14453125,2579.388671875,426.1908874511719
2024-09-26,225.82713317871094,65181.01953125,2632.199951171875,425.4018859863281
2024-09-27,226.09512329101562,65790.6640625,2695.900634765625,422.1569519042969
2024-09-28,,65887.6484375,2677.5390625,
2024-09-29,,65635.3046875,2659.346923828125,
2024-09-30,231.266357421875,63329.5,2603.062744140625,424.40570068359375
2024-10-01,224.52688598632812,60837.0078125,2448.921142578125,414.9273681640625
2024-10-02,225.09263610839844,60632.78515625,2365.231689453125,411.4161376953125
2024-10-03,223.9908905029297,60759.40234375,2349.791259765625,410.834228515625
2024-10-04,225.1125030517578,62067.4765625,2414.7939453125,410.3607482910156
2024-10-05,,62089.94921875,2415.6318359375,
2024-10-06,,62818.953125,2439.957763671875,
2024-10-07,220.04054260253906,62236.66015625,2421.796630859375,403.9300537109375
2024-10-08,224.09017944335938,62131.96875,2439.8408203125,409.02923583984375
2024-10-09,227.83209228515625,60582.1015625,2368.283447265625,411.74163818359375
2024-10-10,227.3358154296875,60274.5,2383.85791015625,410.1437683105469
2024-10-11,225.85693359375,62445.08984375,2436.513427734375,410.6171875
2024-10-12,,63193.0234375,2476.523193359375,
2024-10-13,,62851.375,2467.677001953125,
2024-10-14,229.5790252685547,66046.125,2628.89990234375,413.3985900878906
2024-10-15,232.1100311279297,67041.109375,2606.02197265625,413.0040283203125
2024-10-16,230.05545043945312,67612.71875,2611.10205078125,410.4199523925781
2024-10-17,230.42266845703125,67399.8359375,2604.2734375,411.01171875
2024-10-18,233.25149536132812,68418.7890625,2641.55224609375,412.4320068359375
2024-10-19,,68362.734375,2648.656982421875,
2024-10-20,,69001.703125,2746.364013671875,
2024-10-21,234.720458984375,67367.8515625,2665.712158203125,413.0435485839844
2024-10-22,234.10507202148438,67361.40625,2620.197509765625,421.6539001464844
2024-10-23,229.0430450439453,66432.1953125,2509.098876953125,418.7838134765625
2024-10-24,228.8544464111328,68161.0546875,2534.49853515625,418.91204833984375
2024-10-25,229.6881866455078,66642.4140625,2435.93408203125,422.28515625
2024-10-26,,67014.6953125,2479.603271484375,
2024-10-27,,67929.296875,2505.940673828125,
2024-10-28,231.6633758544922,69907.7578125,2565.34814453125,420.7465515136719
2024-10-29,231.93138122558594,72720.4921875,2637.95751953125,426.0331115722656
2024-10-30,228.387939453125,72339.5390625,2657.37255859375,426.60516357421875
2024-10-31,224.22911071777344,70215.1875,2515.79931640625,400.7838134765625
2024-11-01,221.25143432617188,69482.46875,2511.885498046875,404.74871826171875
2024-11-02,,69289.2734375,2491.068603515625,
2024-11-03,,68741.1171875,2456.42529296875,
2024-11-04,220.3581085205078,67811.5078125,2397.0263671875,402.8648986816406
2024-11-05,221.7874298095703,69359.5625,2422.650634765625,405.82379150390625
2024-11-06,221.0628662109375,75639.078125,2724.169189453125,414.42431640625
2024-11-07,225.78744506835938,75904.859375,2895.58544921875,419.6023864746094
2024-11-08,225.51914978027344,76545.4765625,2962.296630859375,416.7520446777344
2024-11-09,,76778.8671875,3131.14453125,
2024-11-10,,80474.1875,3191.331298828125,
2024-11-11,222.8064727783203,88701.484375,3374.81298828125,412.2840881347656
